"status","ref_key","judul","bab_skripsi","lokasi_skripsi","kata_kata_di_skripsi","kata_kata_asli_referensi","halaman_referensi","catatan"
"verified","londono2024engagement","Engagement and Loyalty in Mobile Applications for Restaurant Home Deliveries","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:109","platform ... bagian dari pengalaman konsumsi digital","engagement, convenience, and safety positively influence loyalty","PDF p.1","verifikasi langsung dari abstrak PDF artikel"
"verified","putri2024cikarang","Pemanfaatan Market Place GrabFood dan GoFood dalam Peningkatan Penjualan UMKM di Kecamatan Cikarang Barat","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:112","OFDA menjadi bagian penting dari strategi pemasaran digital karena membantu usaha memperluas pasar dan mempercepat transaksi","significantly helped increase sales, expand market share, and increase business visibility","105 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","azhari2026gofood","Digital Marketing Strategy Based On E-Service, Brand Image And Reviews For GoFood MSMEs","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:67","konsumen menilai kejelasan informasi, kecepatan pelayanan, serta ulasan dan rating toko pada aplikasi","E-Service Quality ... Brand Image ... Online Customer Reviews have a positive and significant effect on Online Purchasing Decisions","PDF p.1","verifikasi langsung dari abstrak PDF jurnal"
"verified","regina2025kuliner","Strategi Pemasaran Digital untuk Meningkatkan Penjualan UMKM Sektor Kuliner","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:86","pemasaran digital berperan dalam meningkatkan penjualan UMKM sektor kuliner","media sosial ... menjadi alat yang penting ... untuk menjangkau konsumen baru dan membangun loyalitas pelanggan","7 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","hidayah2021digitalplatforms","Effectiveness of Digital Platforms as Food and Beverage Marketing Media During the COVID-19 Pandemic","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:83","media sosial, marketplace, aplikasi pesan, iklan digital, dan platform online food delivery","social media ... and GrabFood and GoFood also play a significant role","122 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","zaheer2024ofda","Enticing Attributes of Consumers' Purchase Intention to Use Online Food Delivery Applications (OFDAs) in a Developing Country","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:118","atribut-atribut yang menarik pada aplikasi makanan dapat mendorong niat penggunaan konsumen","perceived value positively predicted consumers' purchase intentions","295 (PDF p.1)","verifikasi langsung dari abstrak PDF artikel"
"verified","firdaus2022bangkupawon","Penerapan Strategi Digital Marketing pada Penggunaan Platform GoFood, GrabFood dan ShopeeFood terhadap Peningkatan Pendapatan Bisnis Kuliner (Studi Kasus Bangku Pawon Ngaliyan)","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:112","OFDA ... membantu usaha memperluas pasar dan mempercepat transaksi","mampu meningkatkan pendapatan ... dari Rp.2.200.000 ... menjadi Rp.4.900.000","abstrak p. x (PDF p.5-10 extract)","verifikasi langsung dari abstrak PDF skripsi"
"verified","david2023strategicmanagement","Strategic Management: A Competitive Advantage Approach, Concepts and Cases","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:193","analisis lingkungan eksternal ... faktor-faktor di luar perusahaan yang dapat memengaruhi kinerja dan arah strategi usaha","External opportunities and external threats refer to ... trends and events","PDF p.41","verifikasi langsung dari PDF buku"
"verified","helms2010swotreview","Exploring SWOT Analysis -- Where Are We Now?: A Review of Academic Research from the Last Decade","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:212","matriks SWOT digunakan untuk merumuskan alternatif strategi berdasarkan kombinasi faktor internal dan eksternal","By listing favorable and unfavorable internal and external issues in the four quadrants","PDF p.2","verifikasi langsung dari PDF artikel"
"verified","gurel2017swot","SWOT Analysis: A Theoretical Review","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:209","strengths dan weaknesses berasal dari kondisi di dalam usaha, sedangkan opportunities dan threats berasal dari lingkungan di luar usaha","Strengths and weaknesses are internal factors ... opportunities and threats are external","PDF p.2","verifikasi langsung dari PDF artikel"
"verified","flick2018designingqualitative","Designing Qualitative Research","Bab 3 Metodologi Penelitian","chapters/03-metodologi-penelitian.tex:4","pendekatan kualitatif digunakan ketika peneliti ingin memahami makna, proses, konteks, dan perspektif partisipan","understand, describe and sometimes explain social phenomena 'from the inside'","PDF p.11","verifikasi langsung dari PDF buku"
"skip_incomplete_book_pdf","creswell2018qualitativeinquiry","Qualitative Inquiry and Research Design: Choosing Among Five Approaches","Bab 3 Metodologi Penelitian","chapters/03-metodologi-penelitian.tex:4","pendekatan kualitatif digunakan ketika peneliti ingin memahami makna, proses, konteks, dan perspektif partisipan","","","resource yang tersedia hanya sample chapter resmi, bukan PDF buku lengkap"
"skip_incomplete_book_pdf","patton2015qualitativeevaluation","Qualitative Research & Evaluation Methods: Integrating Theory and Practice","Bab 3 Metodologi Penelitian","chapters/03-metodologi-penelitian.tex:23","pembatasan objek dan fokus diperlukan agar pengumpulan data dan analisis tetap terarah pada fenomena inti","","","resource yang tersedia hanya katalog resmi SAGE, bukan PDF buku lengkap"
"skip_incomplete_book_pdf","miles2020qualitativedata","Qualitative Data Analysis: A Methods Sourcebook","Bab 3 Metodologi Penelitian","chapters/03-metodologi-penelitian.tex:174","reduksi data diperlukan untuk menajamkan, memfokuskan, dan menyederhanakan data agar analisis lebih terarah","","","resource yang tersedia hanya appendix resmi, bukan PDF buku lengkap"
